UPOS	SPOS	EqlNumUPOS	EqlNumSPOS	gender1M2F	number1S2P	polarity1p2n3nu	Positive-Sentiment	Negative-Sentiment	Neutral-Sentiment	Morpho1P2S0N	complexword	compoundword	Reduplicatedword	Lema	Diac	Infinitive	UnigramProb	Token
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو	10	10	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0023	هي
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0023	وقت
NOUN	اسم	1	1	1	1	1	1	0	0	2	0	1	0	0	0	0	0.0002	آرام
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0097	ڪرڻ
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0991	.
DET	ضمير اشارو	10	10	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0023	هي
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0007	منهنجو
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	۽
DET	ضمير اشارو	10	10	0	1	3	0	0	3	1	0	0	0	1	1	0	0.0059	هُو
PRON	ضمير	2	2	1	1	3	0	0	3	2	0	1	0	1	0	0	0.001	تنهنجو
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0019	ڪتاب
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو	10	10	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0023	هي
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	قلم
PRON	ضمير	2	2	1	1	3	0	0	3	2	0	1	0	1	0	0	0.001	تنهنجو
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	۽
DET	ضمير اشارو	10	10	0	1	3	0	0	3	1	0	0	0	1	1	0	0.0059	هُو
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0019	ڪتاب
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0007	منهنجو
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو	10	10	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0023	هي
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.001	دور
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0026	تعليم
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.001	دور
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو	2	2	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0023	هي
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0059	دنيا
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0086	به
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0011	جنت
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
NUM	صفت عددي	12	12	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0032	هڪ
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0004	حسين
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0004	منظر
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0023	هي
PRON	ضمير	2	2	1	1	3	0	0	3	2	0	1	0	1	0	0	0.001	تنهنجو
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0019	ڪتاب
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			2	1	3	0	0	3	2	1	0	0	1	1	0	0.002	هوءَ
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	0	0	0	0.0011	سڄي
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0007	رات
VERB	فعل	4	4	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0002	پڙهندي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0027	رهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			2	1	3	0	0	3	2	1	0	0	1	1	0	0.002	هوءَ
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	اڄ
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0049	تمام
ADJ	صفت	5	5	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0024	گھڻي
ADJ	صفت	5	5	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0032	خوش
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	1	0	0.0059	هُو
NOUN	اسم	1	1	2	1	3	0	0	3	2	1	0	0	1	0	0	0.0011	ڇوڪري
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0014	ڏسي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.013	ٿو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			1	1	3	0	0	3	1	0	0	0	1	1	0	0.0059	هُو
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	اڄ
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0049	تمام
ADJ	صفت	5	5	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0026	گھڻو
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0032	خوش
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	هن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	ڪهڙي
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0011	خبر
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0105	ته
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	1	0	0.0059	هُو
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0021	منهنجي
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0054	زندگي
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	هن
ADP	حرفِ جر	6	6	0	2	3	0	0	3	1	0	0	0	0	0	0	0.0039	جا
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.002	دوست
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	هن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0004	ايماندار
VERB	فعل	4	4	0	2	1	1	0	0	2	1	0	0	0	0	0	0.0004	سمجھن
VERB	فعل	4	4	0	2	3	0	0	3	1	0	0	0	0	0	0	0.0064	ٿا
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0024	هميشه
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0016	سچ
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	1	0.0007	ڳالهائڻ
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0073	گھرجي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0024	هميشه
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0039	سٺو
VERB	فعل	4	4	0	1	1	1	0	0	1	0	0	0	1	0	1	0.0002	سوچڻ
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0073	گھرجي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0024	هميشه
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.001	حق
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	۽
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0016	سچ
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0007	ساٿ
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0004	ڏجي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0036	هر
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0092	ماڻهو
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
NOUN	اسم	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	اهميت
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	۽
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0027	عزت
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0024	ڏيڻ
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0073	گھرجي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0036	هر
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0092	ماڻهو
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0011	صرف
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0048	پنهنجي
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	1	0	0.0032	لاءِ
VERB	فعل	4	4	0	1	1	1	0	0	2	1	0	0	0	0	0	0.0005	سوچي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.013	ٿو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0036	هر
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0092	ماڻهو
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0048	پنهنجي
NOUN	اسم	1	1	2	1	1	1	0	0	2	0	1	0	1	0	0	0.0005	ذميواري
VERB	فعل	4	4	0	1	1	1	0	0	2	1	0	0	0	0	0	0.0002	نڀائي
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0105	ته
NOUN	اسم	1	1	1	1	3	0	0	3	2	1	0	0	1	0	0	0.0004	معاشرو
ADJ	صفت	5	5	0	1	1	1	0	0	2	0	1	0	0	0	0	0.0019	بهترين
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0007	ٿيندو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	2	0	1	0	1	0	0	0.0007	نوازشريف
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	علاج
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	1	0	0.0032	لاءِ
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0007	لنڊن
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0017	ويو
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0002	نرم
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0019	آهيان
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	بي
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0007	ساھ
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0105	ته
ADV	ظرف	7	7	0	1	2	0	2	0	1	0	0	0	1	0	0	0.0097	نه
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0019	آهيان
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADJ	صفت	5	5	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0007	نئين
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0092	ماڻهو
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0016	ماحول
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
VERB	فعل	4	4	1	1	1	1	0	0	2	1	0	0	1	0	1	0.0005	سمجھڻ
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0023	وقت
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.001	لڳي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.013	ٿو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	1	1	0	0	1	0	0	0	1	1	0	0.0002	مِينهن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0007	مند
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
NOUN	اسم	1	1	0	2	3	0	0	3	2	1	0	0	1	0	0	0.0002	کنڀيون
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0004	جام
VERB	فعل	4	4	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0008	ٿين
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0007	مون
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	ڏٺو
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0105	ته
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	1	0	0.0059	هُو
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0049	تمام
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0026	گھڻو
VERB	فعل	4	4	0	1	1	1	0	0	2	1	0	0	0	0	0	0.0005	سوچي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0016	رهيو
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1	1	1	1	2	0	2	0	1	0	0	0	1	0	0	0.0008	موت
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
NOUN	اسم	1	1	1	1	2	0	2	0	1	0	0	0	1	0	0	0.0002	ڊپ
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0059	کان
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	1	0	0.0059	هُو
ADJ	صفت	5	5	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0004	اڪيلو
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0002	سمهي
X	نامعلوم	18	18	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0064	ئي
ADV	ظرف	7	7	0	1	2	0	2	0	1	0	0	0	1	0	0	0.0097	نه
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.013	ٿو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0021	منهنجي
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0008	سوچ
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0013	ڪڏهن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0086	به
VERB	فعل	4	4	0	1	1	1	0	0	2	0	1	0	1	0	0	0.0004	بدلجي
ADV	ظرف	7	7	0	1	2	0	2	0	2	1	0	0	1	0	0	0.0005	نٿي
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	1	0	0	1	0	0	0.001	سگھي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0021	منهنجي
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.001	زال
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0021	منهنجي
ADJ	صفت	5	5	0	1	1	1	0	0	2	0	1	0	0	0	0	0.0019	بهترين
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.002	دوست
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADJ	صفت	5	5	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0002	مندائتي
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	بارش
NOUN	اسم	1	1	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0002	فصلن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	1	0	0.0032	لاءِ
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0032	بهتر
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	ملڪ
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0134	سان
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.003	محبت
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	ايمان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
NOUN	اسم	1	1	2	1	3	0	0	3	2	1	0	0	1	0	0	0.0002	نشاني
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0011	مظفر
ADJ	صفت	5	5	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0007	نئين
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	ٽهي
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0039	سٺو
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0005	شاعر
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0011	مظفر
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0039	سٺو
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0005	شاعر
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1	1	2	1	1	1	0	0	2	0	1	0	1	0	0	0.0007	مسڪراهٽ
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0054	زندگي
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
ADJ	صفت	5	5	0	2	1	1	0	0	2	1	0	0	1	0	0	0.0004	خوشيون
